state,state_abbr,fiscal_year,chip_enhanced_fmap,chip_multiplier_calculated,source_name,source_url,date_accessed,review_status
Arkansas,AR,2003,0.8200,4.56,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2004,0.8227,4.64,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2005,0.8233,4.66,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2006,0.8164,4.45,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2007,0.8136,4.36,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2008,0.8106,4.28,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2009,0.8097,4.25,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2010,0.8095,4.25,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2011,0.7996,3.99,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2012,0.7950,3.88,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2013,0.7912,3.79,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2014,0.7907,3.78,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2015,0.7962,3.91,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2016,1.0000,,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2017,1.0000,,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2018,1.0000,,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2019,1.0000,,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2020,0.9580,22.81,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2021,0.8420,5.33,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2022,0.8447,5.44,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2023,0.8426,5.35,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2024,0.8040,4.10,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2025,0.7980,3.95,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Arkansas,AR,2026,0.7846,3.64,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2003,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2004,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2005,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2006,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2007,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2008,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2009,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2010,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2011,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2012,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2013,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2014,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2015,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2016,0.8800,7.33,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2017,0.8800,7.33,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2018,0.8800,7.33,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2019,0.8800,7.33,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2020,0.8080,4.21,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2021,0.6934,2.26,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2022,0.6934,2.26,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2023,0.6934,2.26,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2024,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2025,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
California,CA,2026,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Colorado,CO,2003,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Colorado,CO,2004,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Colorado,CO,2005,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
Colorado,CO,2006,0.6500,1.86,KFF State Health Facts - Enhanced Federal Medical Assistance Percentage (FMAP) for CHIP,https://www.kff.org/medicaid/state-indicator/enhanced-federal-matching-rate-chip/,2026-06-22,needs_review
